"","PlantID","Network","Island","Species","RecruitmentMode","Parent","DaysAlive","DeadMissing","Dead","Missing","First.Survey.Date.Alive","OldMothNetworkPres","MENetworkPres","CANetworkPres","MothNetworkPres","OldMothPlantPres","MEPlantPres","CAPlantPres","MothPlantPres","First.Survey.Date","minFecundityYear","First_Size","First.Measurement.Date","min.Size","max.Size"
"1","7022",435,"7","pusilla","Clonal","9284,",516,0,0,0,2014-01-26,1,1,0,1,0,0,0,0,2014-01-26,2013,2,2014-01-26,2,6
"2","7101",208,"Roadway2","stricta","Clonal","9730,",382,0,0,0,2014-05-06,1,1,1,1,1,1,0,1,2014-05-06,2014,3,2014-05-06,1,3
"3","7108",207,"Roadway2","stricta","Clonal","7037,",381,0,0,0,2014-05-07,1,1,1,1,1,0,1,1,2014-05-07,2014,4,2014-05-07,4,4
"4","7120",113,"3","stricta","Clonal","9968,",379,0,0,0,2014-05-19,1,0,1,1,0,0,0,0,2014-06-26,2014,1,2014-06-26,1,2
"5","7185",209,"Roadway2","stricta","Clonal","9371,",243,1,1,0,2014-05-11,1,1,1,1,1,0,0,1,2014-06-25,2014,1,2014-06-25,1,1
"6","7207",183,"Roadway1","stricta","Clonal",",9612",384,0,0,0,2014-05-26,1,1,1,1,1,0,0,1,2014-06-29,2014,10,2014-06-29,3,10
"7","7232",84,"3","stricta","Clonal","9892,",271,0,0,0,2014-09-05,1,0,1,1,1,0,0,1,2014-09-05,2014,1,2014-09-05,1,2
"8","7594",208,"Roadway2","stricta","Clonal","9730,",135,0,0,0,2015-01-08,1,1,1,1,1,0,0,1,2015-01-08,2014,2,2015-01-08,1,2
"9","7799",113,"3","stricta","Clonal","9939,",133,0,0,0,2015-01-20,1,0,1,1,0,0,0,0,2015-01-20,2014,2,2015-01-20,1,2
"10","7813",113,"3","stricta","Clonal","9939,",133,0,0,0,2015-01-20,1,0,1,1,0,0,0,0,2015-01-20,2014,1,2015-01-20,1,1
"11","8232",969,"7","stricta","Clonal","8231,",808,0,0,0,2013-04-15,1,1,1,1,1,0,0,1,2013-04-15,2013,3,2013-04-15,3,5
"12","8999",226,"6","pusilla","Clonal","9165,",531,0,0,0,2014-01-10,1,0,0,1,0,0,0,0,2014-01-10,2013,4,2014-01-10,4,5
"13","9573",207,"Roadway2","stricta","Clonal",",9373",812,0,0,0,2013-03-06,1,1,1,1,1,0,0,1,2013-03-06,2012,1,2013-03-06,1,5
"14","9637",183,"Roadway1","stricta","","9633,",129,NA,NA,NA,2013-03-08,1,1,1,1,1,0,0,1,2013-03-08,2012,4,2013-03-08,4,4
"15","9810",84,"3","stricta","Clonal","9807,",792,0,0,0,2013-04-02,1,0,1,1,1,0,0,1,2013-04-02,2013,1,2013-04-02,1,4
