"","PlantID","Date","Insect_Evidence_t","Moth_Evidence_t","Gerstaeckeria_t","Unknown_Moth_t","Old_Moth_Evidence_t","NatInsect_t","Insect_t","DA_t","CH_t","ME_t","CA_t","Height_t","Size_t","SamplingYear","Year","Network","Species","Island","RecruitmentMode","FruitPres_t","Fruit_Flowers_t","FruitFlowerPres_t","Fruit_t","DeadbyEndofYear","MissingbyEndofYear","PrevSamplingYear","PrevYear","OldMothNetworkPres","MENetworkPres","CANetworkPres","MothNetworkPres","OldMothPlantPres","MEPlantPres","CAPlantPres","MothPlantPres","MothNetworkPres_t","CANetworkPres_t","MENetworkPres_t","OldMothNetworkPres_t","OldMothNetworkPres_t_1","MENetworkPres_t_1","CANetworkPres_t_1","MothNetworkPres_t_1","IslandFullNames","MothOccupancy","DeadFactor","PlantIDb","PlantIDc","Alive","Clones_t","Loss_to_Offspring","ClonePres_t","Size_t_1","Height_t_1","Previous_Survey_Date","DaysSincePrevSurvey","DaysSinceStart","CA_t_1","ME_t_1","CH_t_1","DA_t_1","Insect_t_1","NatInsect_t_1","Old_Moth_Evidence_t_1","Unknown_Moth_t_1","Gerstaeckeria_t_1","Moth_Evidence_t_1","Insect_Evidence_t_1","RGR_Height","RGR_Height365","RGR_Size","RGR_Size365"
"1","6093",2015-01-15,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2014,2015,"134","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,0,2013,2014,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,"Island 3","No Insects Observed","No","5, 6093","5
6093",1,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","7001",2015-06-24,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"138","Opuntia pusilla","5","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,"Island 3","No Insects Observed","No","5, 7001","5
7001",1,0,0,0,3,3,2014-06-16,373,519,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA
"3","7009",2014-06-11,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2014,2014,"138","Opuntia pusilla","5","Clonal",0,0,0,0,0,1,2013,2013,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,"Island 3","No Insects Observed","No","5, 7009","5
7009",1,0,0,0,1,NA,2014-01-21,141,141,0,0,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA
"4","7016",2014-06-11,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2014,2014,"138","Opuntia pusilla","5","Clonal",0,0,0,0,0,1,2013,2013,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,"Island 3","No Insects Observed","No","5, 7016","5
7016",1,0,0,0,1,NA,2014-01-21,141,141,0,0,0,0,0,0,0,0,NA,1,1,NA,NA,NA,NA
"5","7029",2014-06-17,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2014,2014,"969","Opuntia stricta","7","Clonal",0,0,0,0,1,0,2013,2013,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,"Island 5","Moth Damage Only,
No Insects Observed","Yes","7, 7029","7
7029",0,0,0,0,1,NA,2014-01-26,142,142,0,0,0,0,0,0,1,0,NA,1,1,NA,NA,NA,NA
"6","7030",2015-07-02,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"969","Opuntia stricta","7","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,"Island 5","Moth Damage Only,
No Insects Observed","Yes","7, 7030","7
7030",0,0,0,0,2,6,2014-06-17,380,522,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"7","7031",2015-06-25,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"969","Opuntia stricta","7","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,"Island 5","Moth Damage Only,
No Insects Observed","Yes","7, 7031","7
7031",0,0,0,0,1,1,2014-06-17,373,515,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"8","7032",2015-06-25,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"969","Opuntia stricta","7","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,"Island 5","Moth Damage Only,
No Insects Observed","No","7, 7032","7
7032",1,0,0,0,1,8,2014-06-17,373,515,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"9","7033",2015-07-02,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"969","Opuntia stricta","7","Clonal",NA,NA,NA,NA,0,1,2014,2014,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,"Island 5","Moth Damage Only,
No Insects Observed","No","7, 7033","7
7033",1,0,0,0,1,3.5,2014-06-17,380,522,0,0,0,0,0,0,1,0,0,1,1,NA,NA,NA,NA
"10","7104",2015-05-23,1,1,0,0,0,0,0,0,0,0,0,NA,NA,2015,2015,"208","Opuntia stricta","Roadway2","Clonal",NA,NA,NA,NA,1,0,2014,2014,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"Beach
Dunes","Invasive Moth","Yes","Roadway2, 7104","Roadway2
7104",0,0,0,0,3,11,2014-05-06,382,382,1,0,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA
