"","Date","PlantID","ClusterID","Network","Island","Species","Easting","Northing","RecruitmentMode","RangeofDates","SizeofDateRange","CA_t","ME_t","CH_t","DA_t","Unknown_Moth_t","Gerstaeckeria_t","Old_Moth_Evidence_t","AllSurveyed","Dead","Missing","Size_t","Plant_Segments_w_leaves","Plant_Segments_wo_leaves","Plant_Segments_woody","Height_t","Width_t","Perpen_Width","Num_FlowerBuds","Num_Fruit_red","Num_Fruit_green","Num_Flowers","Fruit_t","Fruit_Flowers_t","DemographicSurvey","SamplingYear","PlantsSurveyed"
"1",2015-02-11,"6000","84",84,"3","stricta",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,NA,NA,NA,0,0,0,0,0,0,"4",2014,"NA"
"2",2015-06-03,"6000","84",84,"3","stricta",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,2,3,1,0,0,0,0,0,0,"5",2015,"NA"
"3",2015-02-11,"6001","84, 117",84,"3","pusilla",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,NA,NA,NA,0,0,0,0,0,0,"4",2014,"NA"
"4",2015-06-03,"6001","84, 117",84,"3","pusilla",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,1.5,0.5,0.5,0,0,0,0,0,0,"5",2015,"NA"
"5",2015-02-11,"6002","910",910,"7","pusilla",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,NA,NA,NA,0,0,0,0,0,0,"4",2014,"NA"
"6",2015-07-02,"6002","910",910,"7","pusilla",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,3,2,1,0,5,6.5,1.5,0,0,0,0,0,0,"5",2015,"NA"
"7",2015-02-11,"6003","910",910,"7","pusilla",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,1,NA,NA,0,0,0,0,0,0,"4",2014,"NA"
"8",2015-07-02,"6003","910",910,"7","pusilla",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,3,1,2,0,6.5,5,2.5,0,0,0,0,0,0,"5",2015,"NA"
"9",2015-05-23,"6004","207",207,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,1.5,4,2.5,0,0,0,0,0,0,"5",2015,"NA"
"10",2015-05-23,"6005","207",207,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,2,1.5,1,0,0,0,0,0,0,"5",2015,"NA"
"11",2015-05-23,"6006","208",208,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,0.5,4,2.5,0,0,0,0,0,0,"5",2015,"NA"
"12",2015-05-23,"6007","207",207,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,1,2.5,2,0,0,0,0,0,0,"5",2015,"NA"
"13",2015-05-24,"6012","207",207,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,2,6,2.5,0,0,0,0,0,0,"5",2015,"NA"
"14",2015-05-24,"6013","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,5,9,14,0,0,0,0,0,0,"5",2015,"NA"
"15",2015-05-24,"6014","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,2,3.5,1.5,0,0,0,0,0,0,"5",2015,"NA"
"16",2015-05-24,"6015","209",209,"Roadway2","stricta",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,4,1.5,1,0,0,0,0,0,0,"5",2015,"NA"
"17",2015-05-25,"6020","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,1.5,1.5,1.5,0,0,0,0,0,0,"5",2015,"NA"
"18",2015-05-25,"6021","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,8,7,4,0,0,0,0,0,0,"5",2015,"NA"
"19",2015-05-25,"6022","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,2,2,1,0,0,0,0,0,0,"5",2015,"NA"
"20",2015-05-25,"6023","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,3,3.5,1.5,0,0,0,0,0,0,"5",2015,"NA"
"21",2015-05-25,"6024","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,2,5,3.5,0,0,0,0,0,0,"5",2015,"NA"
"22",2015-05-25,"6025","197",197,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,4.5,2.5,1,0,0,0,0,0,0,"5",2015,"NA"
"23",2015-05-25,"6026","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,2,1,1,0,8.5,7.5,1.5,0,0,0,0,0,0,"5",2015,"NA"
"24",2015-05-25,"6027","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE",0,0,1,0,1,0,1,3.5,3,0,0,0,0,0,0,"5",2015,"NA"
"25",2015-05-25,"6028","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,1,2.5,1,0,0,0,0,0,0,"5",2015,"NA"
"26",2015-05-25,"6029","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,0,1,0,1,2.5,1,0,0,0,0,0,0,"5",2015,"NA"
"27",2014-06-25,"6030","209",209,"Roadway2","stricta",NA,NA,"Green Fruit",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,NA,NA,NA,0,0,0,0,0,0,"3",2014,"NA"
"28",2015-05-25,"6030","209",209,"Roadway2","stricta",NA,NA,"Green Fruit",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,2,1,1,0,8.5,7.5,1.5,0,0,0,0,0,0,"5",2015,"NA"
"29",2015-05-26,"6032","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,1,1,0,0,1.5,7.5,1,0,0,0,0,0,0,"5",2015,"NA"
"30",2015-05-26,"6033","209",209,"Roadway2","stricta",NA,NA,"Clonal",NA,NA,0,0,0,0,0,0,1,"TRUE",0,0,3,1,2,0,8,5,2,0,0,0,0,0,0,"5",2015,"NA"
"31",2015-05-26,"6034","209",209,"Roadway2","stricta",NA,NA,"Seedling",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,4.5,1,0.5,0,0,0,0,0,0,"5",2015,"NA"
"32",2015-05-26,"6035","209",209,"Roadway2","stricta",NA,NA,"Seedling",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,4,0.5,0.5,0,0,0,0,0,0,"5",2015,"NA"
"33",2015-05-26,"6036","209",209,"Roadway2","stricta",NA,NA,"Seedling",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,3,0.5,0.5,0,0,0,0,0,0,"5",2015,"NA"
"34",2015-05-26,"6037","209",209,"Roadway2","stricta",NA,NA,"Seedling",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,3,0.5,0.5,0,0,0,0,0,0,"5",2015,"NA"
"35",2015-05-26,"6038","209",209,"Roadway2","stricta",NA,NA,"Seedling",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,4.5,0.5,0.5,0,0,0,0,0,0,"5",2015,"NA"
"36",2015-05-26,"6039","209",209,"Roadway2","stricta",NA,NA,"Seedling",NA,NA,0,0,0,0,0,0,0,"TRUE",0,0,1,0,1,0,3.5,0.5,0.5,0,0,0,0,0,0,"5",2015,"NA"
